#{"t_start": 1782171729.2601292, "env_id": "None"}
r,l,t
102.419723,68,56.32028
102.465861,62,56.378206
102.452576,62,56.435823
103.220506,67,56.49528
102.670103,66,56.555119
102.363479,65,56.615912
102.680421,73,56.681129
102.336403,60,56.737089
102.520345,67,56.79972
102.572845,67,57.546166
102.616507,64,57.608202
102.284087,61,57.66518
102.700229,69,57.725737
102.571205,70,57.787636
102.487382,62,57.844671
102.401324,63,57.90187
102.418817,71,57.964994
102.715754,65,58.024092
102.215143,64,58.081929
102.884281,76,58.149244
102.50126,71,58.212655
102.429197,73,58.27532
102.359883,66,58.334023
102.437338,64,58.391937
102.554872,64,58.449776
102.536886,69,58.510797
102.45438,69,58.571239
102.774835,72,58.634286
102.560591,66,58.693373
102.695552,70,58.754929
102.706332,73,58.818033
102.409077,68,58.878957
102.296349,61,58.935016
102.295174,69,58.997413
102.375247,70,59.058135
102.407332,61,59.114616
102.60108,69,59.178256
102.432988,66,59.238518
102.458782,72,59.300848
102.51605,60,60.031968
102.599718,65,60.094823
102.571544,70,60.158732
102.379204,61,60.21741
102.679158,64,60.276286
102.405176,62,60.334437
102.43611,61,60.394123
102.525821,65,60.45534
102.283273,68,60.518749
102.464975,68,60.580403
102.495942,70,60.644881
102.418691,68,60.707464
102.602381,64,60.76632
102.689242,74,60.830698
102.748017,67,60.890342
102.339726,66,60.949626
102.409909,67,61.010645
102.576134,60,61.066445
102.384998,65,61.125336
102.497414,69,61.188519
102.516905,67,61.249461
102.374214,65,61.308768
102.532841,69,61.37061
102.47016,69,61.432776
102.275061,66,61.492494
102.54131,73,61.556816
102.97013,66,61.616308
102.386985,68,61.67677
102.657437,64,61.734877
102.443414,71,61.797956
102.590344,72,61.861322
102.533977,65,62.597189
102.310991,70,62.662847
102.602366,71,62.72712
102.758089,66,62.788053
102.29238,60,62.847789
102.765595,72,62.91139
102.405646,70,62.974376
102.913915,73,63.03946
102.553829,64,63.099682
102.377558,65,63.159145
102.400201,66,63.219907
102.592337,61,63.276148
102.549023,65,63.334322
102.399445,68,63.396522
102.549864,73,63.463175
102.826386,72,63.527897
102.475209,67,63.591551
102.532736,61,63.64946
102.316903,65,63.70878
102.501893,61,63.764899
102.446324,61,63.822303
102.447651,67,63.88208
102.595602,65,63.941256
102.792807,73,64.005583
102.524147,64,64.065547
102.498237,69,64.128038
102.706753,65,64.189846
102.470949,71,64.254345
102.25898,70,64.317877
102.418804,70,64.380934
102.598635,64,65.114677
102.763091,66,65.180385
102.606389,71,65.24799
102.587257,73,65.316713
102.382435,67,65.380579
102.549167,62,65.438585
102.623114,69,65.503292
102.510806,72,65.570555
102.484844,63,65.632478
102.530804,67,65.694727
102.668511,66,65.756265
102.585666,71,65.824264
102.483335,66,65.891574
6.011126,200,66.052586
102.618991,68,66.115768
102.72894,74,66.181811
102.513897,60,66.240153
102.229149,62,66.299252
102.596596,68,66.362733
102.590445,71,66.427877
102.527639,62,66.487019
102.331418,60,66.545974
102.412395,66,66.607203
102.443698,67,66.67026
102.513741,70,66.735159
102.484216,63,66.792813
102.919704,67,66.85204
102.682609,69,66.914908
102.424983,61,66.972613
102.508907,71,67.716708
102.355354,61,67.78281
102.339361,72,67.85492
102.423345,63,67.922749
102.481455,64,67.996524
102.853231,67,68.059252
102.522106,65,68.122405
102.898092,63,68.182085
102.530928,62,68.240925
102.58109,63,68.299631
102.720348,67,68.362027
102.350495,61,68.420232
102.463288,69,68.483042
102.261237,68,68.54429
102.325502,71,68.60847
102.448805,67,68.670119
102.452013,68,68.730893
102.568418,73,68.794143
102.465081,65,68.854003
102.437434,68,68.914944
102.918978,65,68.97412
102.498201,59,69.031415
102.351584,63,69.0891
102.386402,68,69.148994
102.500272,62,69.205708
102.722687,70,69.267521
102.629124,63,69.32511
102.268885,63,69.382479
102.286808,65,69.44042
102.413909,65,69.49812
102.321991,71,69.559557
102.330127,72,70.303421
102.588673,63,70.366915
102.373726,59,70.425873
102.631576,67,70.492597
102.524027,67,70.555666
102.645382,67,70.616506
102.463192,70,70.679086
102.530581,66,70.738308
102.366929,67,70.799919
102.452963,62,70.857398
102.509449,72,70.920668
102.319945,64,70.98013
102.437227,70,71.044451
102.686063,69,71.108214
102.536237,73,71.172933
102.625132,68,71.2364
102.576472,61,71.295071
102.454891,62,71.353096
102.560246,61,71.411344
102.426007,63,71.470219
102.426872,70,71.532699
102.515098,66,71.592547
102.787527,70,71.6535
102.717918,70,71.717095
102.45907,66,71.776956
102.533639,69,71.839306
102.550174,66,71.900217
102.688022,70,71.963634
102.37919,71,72.028702
102.539776,69,72.091211
102.473607,67,72.151192
102.521598,68,72.88924
102.438726,67,72.953964
102.421245,72,73.018533
102.595612,69,73.080501
102.420393,71,73.143572
102.611597,63,73.201982
102.414672,61,73.258628
102.85942,64,73.317451
102.660188,65,73.376795
102.698367,66,73.437836
102.518317,66,73.49767
102.504886,63,73.555156
102.406647,69,73.616869
102.944839,70,73.678129
102.477731,63,73.734439
102.316311,63,73.790113
102.378074,64,73.848655
102.334744,62,73.904383
102.642884,65,73.962764
102.494357,65,74.021688
102.426111,69,74.08288
102.297947,69,74.144536
102.624247,62,74.201823
102.546301,61,74.257532
102.59422,61,74.313519
102.488329,71,74.375592
102.600372,70,74.437912
102.568547,65,74.496891
102.575563,62,74.555003
102.252572,64,74.612333
102.745565,70,74.673577
102.758651,65,75.43097
102.387525,69,75.51017
102.551976,62,75.569507
103.344443,71,75.634635
102.976918,65,75.695318
102.520457,65,75.755479
102.432948,64,75.81706
102.346006,69,75.880629
102.198466,67,75.943062
102.455663,65,76.00604
102.414945,71,76.069492
103.186952,73,76.134893
102.933505,68,76.197741
102.523493,66,76.257339
103.30737,76,76.324451
102.756584,73,76.388334
102.498736,65,76.447155
102.8436,72,76.510284
102.588723,63,76.568695
102.526209,72,76.631617
102.459691,59,76.687337
102.378992,58,76.741156
102.329013,69,76.801022
102.614653,65,76.859655
102.58672,64,76.917939
102.935743,72,76.981538
102.752779,68,77.044341
102.709563,66,77.10581
102.816912,62,77.162794
102.621614,69,77.225128
102.343976,66,77.969321
102.530981,72,78.040313
102.521084,68,78.10709
102.454644,64,78.17038
102.355668,63,78.23175
102.520325,63,78.290749
102.548874,72,78.354796
102.448996,66,78.414532
102.704396,65,78.47446
102.698539,65,78.532532
102.35169,64,78.592443
102.641809,62,78.649255
102.635656,67,78.709821
102.552084,71,78.771909
102.563978,69,78.833718
102.449392,64,78.892113
102.480594,71,78.95395
102.550859,69,79.016526
102.460889,73,79.081199
102.34878,60,79.137405
102.495238,61,79.194602
102.468862,70,79.256744
102.980634,69,79.318451
102.705651,67,79.379307
102.718075,67,79.440559
102.370187,62,79.498198
102.501878,63,79.556155
102.562536,64,79.615022
102.644065,68,79.675297
102.570538,70,79.73684
102.428842,62,79.794088
102.371258,62,80.521812
102.660943,72,80.594023
102.362351,68,80.659218
102.737253,64,80.719825
102.414275,64,80.77993
103.688438,77,80.848066
102.549868,63,80.907088
102.493483,71,80.970696
102.411132,69,81.034691
102.851569,68,81.098189
102.589974,65,81.158559
103.069692,70,81.223435
102.520713,66,81.285142
102.620948,67,81.348312
102.351182,71,81.408335
102.550591,61,81.465053
102.408139,66,81.526082
102.418905,68,81.588292
102.720006,61,81.646187
102.498333,64,81.702168
102.283626,65,81.755845
102.605813,60,81.809344
102.680483,70,81.87097
102.385031,67,81.930299
102.585961,62,81.986797
102.553452,67,82.046536
102.352,68,82.106044
102.591124,62,82.161663
102.646617,68,82.22254
102.496877,64,82.28111
102.521141,72,82.344149
102.682587,68,83.076803
102.401263,67,83.140125
102.620375,71,83.204542
102.725406,65,83.262971
102.520073,60,83.320181
102.476875,68,83.382251
102.88059,70,83.447521
102.524743,71,83.5129
102.594004,66,83.576585
102.475638,69,83.640364
102.881713,67,83.701648
102.428773,71,83.764297
102.566208,70,83.82793
102.512092,71,83.89167
102.522491,71,83.955017
102.482617,71,84.019493
102.719408,68,84.081463
102.790201,73,84.146619
102.587935,63,84.206017
103.314468,77,84.27082
102.481039,60,84.325303
102.559714,67,84.38581
102.53399,63,84.444592
102.394313,69,84.5067
102.558021,70,84.569638
102.499043,63,84.631034
102.498831,64,84.694657
102.500118,64,84.751551
102.467916,71,84.813114
102.701515,66,84.871918
102.486811,72,85.595475
102.752826,71,85.66112
102.579426,60,85.719348
102.402483,72,85.783764
102.537369,69,85.847501
102.360273,61,85.9048
5.413967,200,86.040576
102.49783,67,86.100942
102.442129,65,86.160066
102.745899,70,86.221513
102.529772,71,86.284401
102.518774,63,86.342681
102.569133,71,86.403715
102.542585,65,86.462121
102.709055,64,86.520216
103.022507,71,86.583263
102.421468,69,86.644351
102.613042,62,86.701021
102.535826,64,86.758245
102.377274,67,86.817894
102.477749,68,86.87885
102.398712,60,86.934616
102.528074,69,86.995614
102.583553,67,87.057452
102.635869,62,87.115169
102.522017,71,87.177304
102.377469,67,87.236935
102.558714,63,87.29444
102.401241,66,87.353312
102.480626,60,88.088234
102.441849,63,88.151418
103.12556,70,88.217016
102.510606,66,88.279637
102.402194,64,88.341082
102.53596,61,88.399236
102.299668,61,88.45751
102.529484,71,88.521091
102.502781,63,88.580692
102.453946,68,88.643338
102.623504,63,88.702118
102.429277,60,88.75756
102.534426,69,88.819118
102.432939,63,88.877545
102.444324,70,88.939945
102.434751,71,89.003006
102.44721,65,89.063188
102.411303,66,89.124385
102.622097,71,89.189039
102.627729,67,89.250271
102.579129,62,89.308214
102.470896,68,89.370105
102.419307,65,89.43086
102.614658,65,89.491077
102.534042,64,89.551083
102.55445,66,89.611941
102.555446,62,89.671842
102.440065,66,89.731149
102.53292,62,89.789501
102.490435,70,89.850752
102.519029,67,89.911422
102.590305,61,90.659883
102.598578,71,90.727505
102.485634,68,90.789258
102.647334,67,90.850309
102.271219,64,90.910142
102.734807,66,90.971136
102.695177,60,91.030187
102.531085,67,91.091982
102.512688,60,91.148281
102.66799,64,91.206645
102.54773,68,91.267009
102.529601,63,91.324795
103.010197,64,91.383559
102.406338,66,91.444062
102.443338,59,91.500734
102.507292,66,91.562021
102.486385,64,91.620579
102.395612,69,91.680854
102.47414,61,91.735963
103.259314,70,91.798372
102.406143,70,91.860929
102.48912,69,91.923218
102.517885,68,91.985991
102.739707,64,92.045832
102.448655,66,92.108788
102.460465,71,92.173256
102.42216,60,92.23105
102.779672,62,92.292181
102.465903,66,92.353506
102.437093,69,92.415863
102.496709,70,92.479177
102.35011,61,92.535604
102.493699,61,93.256404
102.374282,73,93.322116
102.446224,70,93.386705
102.557931,69,93.450837
102.507348,72,93.515984
102.552767,73,93.581448
102.722137,69,93.646926
102.546325,68,93.707526
102.490947,65,93.765766
102.548304,66,93.825875
102.859306,66,93.884175
102.529258,66,93.943902
102.398153,67,94.004365
102.371814,69,94.065318
102.651656,72,94.128248
102.603466,67,94.187943
102.425377,68,94.249794
102.543636,69,94.309863
102.284186,63,94.368156
102.807732,72,94.432156
102.799551,64,94.490973
102.431992,70,94.552602
102.554504,65,94.611182
102.483176,70,94.672081
102.55626,61,94.728222
102.39168,62,94.785423
102.425697,70,94.846691
102.585449,63,94.903216
102.728783,70,94.964663
102.44195,65,95.023415
102.678798,70,95.756114
102.599489,67,95.818989
103.274844,70,95.88959
102.307726,67,95.957309
102.364787,69,96.039753
102.312079,64,96.097319
102.560222,68,96.161725
102.414297,70,96.226971
102.639357,62,96.286686
102.513188,59,96.345587
102.598377,65,96.408225
102.450996,66,96.469706
102.452178,70,96.532591
102.486937,71,96.596695
102.345428,60,96.655142
102.485603,71,96.724247
102.52405,63,96.783801
102.528008,68,96.844198
102.571924,73,96.908122
102.445778,63,96.966844
102.500619,67,97.028047
102.398187,60,97.08704
102.585243,72,97.150446
102.395549,66,97.210286
102.518855,73,97.274837
102.623872,69,97.336497
102.510642,60,97.392426
102.573659,70,97.455006
102.768932,67,97.516053
103.05615,64,97.575011
102.492641,70,97.637264
102.406804,69,98.429768
102.456895,66,98.493049
102.519015,61,98.551712
102.634469,62,98.613689
